<<<<<<< HEAD
binary,given_name,surname,date_of_birth,phone_number,email,address,city,state,zipcode,corr_feature_class,multicollinearity 3,informative_1,outliers 2,outliers 1,random label num 11,random choice 2,uniform corr 1,correlated w target 2,duplicate_2,correlated w target 1,multicollinearity 4,random choice 7,target,multicollinearity 2,uniform corr 2,pd qcut1,pd qcut3,multicollinearity 1,class,scaling_combined,semi_constant_1_q_const_0_1,semi_constant_1_q_const_0_2,random choice 4_North,random choice 4_South,random choice 4_West,random label num 3_label num lo 2,random label num 3_label num lo 3,pd qcut2_Q2,pd qcut2_Q3,pd qcut2_Q4,semi_constant_2_q_const_0_1,semi_constant_2_q_const_0_2
0,0.004,0.004,0.001,0.001,0.001,0.001,0.001,0.008,0.549,3.1317864965178197,0.8566368636351906,0.5210909070320509,-4.184710267689122,2.424010891359582,0.078,0,0.2115729479480209,-1.3495511174133465,0.6640066001907508,3.6523500226220786,0.6361069903002602,0.101,1.4902846231827178,-3.9078057238106223,0.8649547771666237,0,0.243,-0.13608575485695412,1.0,36480.79232926053,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0.001,0.002,0.102,0.001,0.001,0.001,0.001,0.008,0.549,3.673846117107211,-0.37232844424356054,1.298410809303382,4.916859905325795,-5.00236686001594,0.095,1,0.464716291447296,0.6093244156497168,1.0453063757400651,-8.755064206115653,-3.00928276179504,0.411,2.077177886048961,-3.9078057238106223,0.0020293365883726575,0,0.243,-2.900521604689702,1.0,18674.916732385413,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0.01,0.22,0.102,0.301,0.001,0.001,0.001,0.007,0.549,-0.5903739689776861,0.5868375650327209,-0.6860766332166293,6.348324119865037,-0.24861926610621907,0.094,0,0.725840022462953,-1.2739693140577266,-0.21730425574735168,-5.050028669640557,0.13034598396830435,0.411,-0.04039569818845051,-3.9078057238106223,0.0020293365883726575,1,0.192,0.3501890614837597,0.0,18674.916732385413,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1,0.014,0.22,0.002,0.001,0.001,0.001,0.001,0.007,0.001,1.529687014197597,0.3468461409702588,2.9251395877620867,3.9589948366724665,-5.00236686001594,0.083,0,0.657422530220181,6.299227420702446,2.7119608896597107,-1.861457587039935,0.6587376126840685,0.101,5.165736554096395,0.023902958953081144,0.9467257321648439,0,0.188,0.01942250682084581,1.0,47834.60118358257,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,0.004,0.002,0.001,0.301,0.001,0.001,0.288,0.008,0.549,3.4531420003985263,0.01127772144865761,1.882030027039841,6.297389877562139,0.25986497491265015,0.079,0,0.9059557181644313,1.082069874338673,1.646367141258015,0.4524474527772917,-3.00928276179504,0.411,3.1919319238247565,1.251441480979063,0.0020293365883726575,0,0.188,0.049961284180886315,1.0,51909.59637709272,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.005,0.22,0.102,0.001,0.001,0.001,0.001,0.007,0.549,4.4935204114006195,-0.8526016548080733,1.0198391116840506,5.146972428912269,-2.7590719416345104,0.078,0,0.23460810542825467,2.6819521465164895,1.0474848470309324,1.172562247037289,-0.8002010605113856,0.101,2.16415341226954,-3.9078057238106223,0.8643908436185185,0,0.243,0.5906889123312248,1.0,18674.916732385413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.002,0.005,0.001,0.301,0.001,0.001,0.001,0.015,0.001,1.231360357874358,1.1702939669591468,-0.3714869425311782,2.640609466448934,-0.07955609333315763,0.079,0,0.5775558082119157,0.5397566458922045,-0.8983006964065531,-3.7927676572341653,1.1375962873341894,0.411,-1.5917313144198164,-1.5771645691057128,0.36548367280882327,1,0.243,-1.2547911233634617,0.0,18674.916732385413,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1,0.002,0.002,0.102,0.001,0.001,0.001,0.001,0.014,0.549,0.21712474033362628,-1.2510009904546662,-2.409975872086312,0.31856091468908954,3.114635634534624,0.096,1,0.6925663582970168,3.485265683106995,1.5115778404585067,-8.755064206115653,-1.1233387702424218,0.104,4.171443967670781,-0.6705719551136643,0.7955213568640538,0,0.188,-2.900521604689702,1.0,18674.916732385413,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,0.006,0.002,0.001,0.001,0.001,0.001,0.001,0.013,0.001,2.9791573051334574,-1.4570200938199778,0.5508509886724762,3.870986213944721,-5.00236686001594,0.096,1,0.707294633603717,-7.589687566745138,0.4724066441252236,1.6665693152622794,-3.00928276179504,0.411,1.0711718257205494,0.32731531823504795,0.0020293365883726575,0,0.243,0.7239497140181687,0.0,69735.10548008884,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0.005,0.001,0.001,0.301,0.001,0.001,0.001,0.015,0.549,0.4889951579850851,0.20007634480628086,-1.287894198500732,1.3274813970598278,2.101195771214807,0.079,0,0.9410537076140041,5.064691786752128,1.8961937668539977,1.136041108278605,-3.00928276179504,0.083,4.663571335859559,-3.9078057238106223,0.9139584250660915,0,0.188,1.7850005500830166,1.0,37717.79909673902,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,0.002,0.011,0.001,0.301,0.001,0.001,0.001,0.231,0.549,0.6999193649156994,-1.4264020544920994,-2.044462049230024,9.224043817364388,-5.00236686001594,0.09,0,0.6633739077854078,-7.589687566745138,-0.41349414144382024,-3.5078532479076165,-1.223526964202621,0.411,-0.05917940201608718,-0.5955170309724384,0.0020293365883726575,0,0.192,0.012332453787100642,1.0,59191.98334996209,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0,0.017,0.002,0.001,0.301,0.102,0.001,0.001,0.015,0.001,0.5124665825108072,-1.5449501299654251,-0.8852896287436569,-0.4340613506922173,-5.00236686001594,0.09,1,0.2512106049279407,-0.4704283155821467,-1.3398820467032777,-4.879761810506153,-3.00928276179504,0.101,-2.385582206089156,0.4656589004619238,0.5218763986615462,1,0.183,-2.900521604689702,0.0,52533.861716777836,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.002,0.001,0.001,0.301,0.001,0.001,0.001,0.013,0.549,2.8690746227177306,-0.11424741567590277,1.0241831340573713,0.16582838300922775,-1.2095506669801546,0.079,0,0.0019501046328625337,2.699542611490016,0.9747731471654596,3.8483837801596477,-3.00928276179504,0.411,2.0071546527859363,-3.9078057238106223,0.0020293365883726575,0,0.243,-2.900521604689702,1.0,18674.916732385413,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0.001,0.001,0.102,0.001,0.001,0.001,0.288,0.008,0.001,4.626653312205384,-1.1041025315803998,2.772118783740503,3.82706954204519,-5.00236686001594,0.09,0,0.23885426904088924,-7.589687566745138,-0.5603828863589755,1.5029859608980194,-0.6508134043115146,0.105,-1.796914443713002,1.9771301088258029,0.4690073773608755,0,0.183,-2.900521604689702,0.0,18674.916732385413,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.011,0.005,0.001,0.001,0.001,0.112,0.288,0.231,0.549,2.230725848145794,-0.30473466755874556,2.894620275821785,0.3119391890592027,-5.00236686001594,0.147,0,0.9805475995245063,-7.589687566745138,2.9689279268649393,-0.9558349543345361,-0.23349886557039254,0.101,5.725060088355324,-0.20441657366261926,0.45318815305048243,0,0.188,-0.12600743101146417,1.0,18674.916732385413,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.002,0.001,0.001,0.301,0.001,0.112,0.288,0.231,0.549,1.4264520526260172,0.7875131699558513,-1.5337204517022132,4.621596803956201,-5.00236686001594,0.078,0,0.010224016077476824,-5.225057810860965,-2.6249741737657706,-8.755064206115653,0.23162611004490327,0.411,-4.94606867736609,-3.9078057238106223,0.06489596850110992,1,0.096,-2.900521604689702,0.0,18674.916732385413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.002,0.22,0.001,0.001,0.001,0.001,0.001,0.013,0.001,0.3691064423548074,-1.1544358416186202,0.02098191690910778,-0.4840916475316135,0.3892618546408691,0.083,1,0.7049326117504162,-0.6010563694444239,-0.06760796056650875,-0.2703054837772421,-1.0225909906400128,0.411,0.07126907475273472,-3.9078057238106223,0.0020293365883726575,0,0.192,-2.900521604689702,1.0,38537.72175614739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0.014,0.22,0.001,0.001,0.001,0.001,0.001,0.018,0.549,4.036619456685088,1.910047847758391,1.8443231378056928,4.657819290674383,-0.40087544738819936,0.079,1,0.21169751736278086,-7.589687566745138,-1.2217076521647443,-8.755064206115653,1.9090342931922337,0.411,-2.939031799307607,-0.5504968361164992,0.012172882430929654,1,0.098,-2.900521604689702,0.0,59100.187027919,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.017,0.001,0.002,0.001,0.001,0.001,0.001,0.018,0.001,3.684214597798136,1.2581974118734265,1.0483525417087796,0.9891643213405832,-0.08752159201051495,0.079,0,0.5663284434375752,1.5997488537610935,0.961774366183153,-8.755064206115653,2.1745715148169213,0.101,1.9721758144260035,0.11451098952811131,0.9022469208668359,0,0.243,-2.900521604689702,1.0,61592.55948653557,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,0.013,0.002,0.001,0.301,0.001,0.001,0.001,0.016,0.549,0.9365163754516048,0.9589214452986115,2.4004610305674445,-1.6272597261968471,-1.6607007939831324,0.147,1,0.8519838037925778,-7.589687566745138,-0.8989091039422038,-8.755064206115653,0.6504669228487279,0.101,-2.4120682514447593,-0.49963291281703587,0.1841840876373565,0,0.183,-0.5428685666193755,0.0,18674.916732385413,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0,0.007,0.005,0.001,0.301,0.001,0.001,0.001,0.019,0.001,-0.15201975086770325,0.26056789288699683,-0.9062701513138482,6.235623636155493,-5.00236686001594,0.079,0,0.46849695834978655,-7.589687566745138,-0.9198365268034259,-1.5817761634823335,-0.25048433186679986,0.095,-1.479837561849778,-0.8251425816276315,0.35518225578478907,1,0.183,-2.900521604689702,0.0,35189.55682794193,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,0.004,0.002,0.001,0.001,0.001,0.001,0.001,0.009,0.549,1.6829407006585881,1.0513887794228836,0.6856439278887565,5.4112082554230305,0.8618738414536911,0.147,1,0.25164978150978706,-7.589687566745138,-0.812080630970504,-8.755064206115653,0.5531245822259272,0.105,-1.719440301667864,-0.5965907480666046,0.755252383046366,1,0.183,-2.900521604689702,0.0,28117.875556144485,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.013,0.22,0.001,0.301,0.001,0.001,0.001,0.018,0.001,7.23850502485843,0.2772251600144789,-0.042585889530903476,0.8844658401754133,-1.9388079417196873,0.096,1,0.39156271279472754,-7.589687566745138,0.08777843129015706,-8.755064206115653,0.9166515798527033,0.411,0.42281822091030685,-3.9078057238106223,0.0020293365883726575,0,0.192,-2.900521604689702,1.0,64264.562356197974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,0.006,0.004,0.001,0.001,0.001,0.001,0.001,0.014,0.001,6.499207628645321,0.6976823671096368,-1.5108282778358584,4.879084719986033,-5.00236686001594,0.085,1,0.998889981575693,5.338392073813967,2.995192146813761,-8.755064206115653,-3.00928276179504,0.105,7.08299431672875,0.11868041917293239,0.6996476529185677,0,0.188,-1.3959188869494572,1.0,51691.78064770971,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.076,0.003,0.001,0.001,0.102,0.001,0.288,0.021,0.001,3.4366046399678236,-0.5816601040685535,-0.899755982803224,2.339933758350131,-0.2941676833435028,0.147,0,0.6973516229594705,0.2892093987136789,-0.2932547227154315,3.4759007588895305,-0.4481979621412209,0.101,-0.13991053620578175,-0.09155053310261192,0.5364228070699792,0,0.192,-2.900521604689702,0.0,18674.916732385413,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.002,0.016,0.102,0.001,0.001,0.001,0.001,0.231,0.549,0.38954416451560414,-1.977990452038715,-1.561028039293678,1.2353502455237693,-5.00236686001594,0.09,1,0.1092657470900884,-7.589687566745138,-2.760416315820616,-2.5314392004881365,-2.372163709251512,0.101,-5.22805519092952,-1.6196374151575326,0.0020293365883726575,0,0.096,-1.32406907110536,0.0,18674.916732385413,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0,0.007,0.001,0.001,0.001,0.001,0.001,0.001,0.01,0.549,7.157782447638431,0.14430727644520455,0.8097918273664589,4.192251072643872,-5.00236686001594,0.147,0,0.5156822024737757,1.5471382005079701,0.656203460639147,0.1691802089546216,0.05371776746643544,0.411,1.388270723536752,-3.9078057238106223,0.45684884942454973,0,0.243,-2.900521604689702,1.0,18674.916732385413,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0.009,0.001,0.001,0.301,0.001,0.001,0.001,0.231,0.001,-0.31282801013210104,0.20416276534055963,1.9191488524234055,-4.184710267689122,1.3299130466892042,0.083,1,0.027880733183007315,-7.589687566745138,-1.2469570718594878,-8.755064206115653,-0.5586572808782694,0.411,-3.0152134439179354,-2.2549039309279344,0.22215368356196608,1,0.098,-1.8925527425164246,0.0,18674.916732385413,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.009,0.002,0.001,0.001,0.001,0.001,0.288,0.014,0.001,-1.291464596788292,-0.5332258077502359,0.13029209697270694,2.9661662545924337,-0.41591807787087315,0.085,1,0.30934936024504345,-7.3164849356236825,-0.7309448849904976,-2.189602446837494,-0.406225022158917,0.411,-1.3815935095268763,-0.8183741712841562,0.2748823606200902,0,0.183,-2.900521604689702,0.0,50978.91739384308,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0,0.005,0.003,0.002,0.001,0.102,0.001,0.001,0.013,0.001,0.19174575225181711,-0.8684082573224052,0.14496917450032587,7.523316457707473,-5.00236686001594,0.085,0,0.24948287957449933,-7.589687566745138,0.5587087380473019,-0.4965114394789938,-3.00928276179504,0.411,1.3759183149321608,1.7096447599202107,0.18420590462149133,0,0.243,0.7247485148768837,1.0,18674.916732385413,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0.015,0.004,0.001,0.001,0.001,0.112,0.288,0.231,0.549,2.2768341204207627,0.5875653254184426,-0.42624557298219345,-1.8676811565535627,-5.00236686001594,0.147,1,0.3334584737457963,-7.589687566745138,0.11493125818958094,-8.755064206115653,-3.00928276179504,0.411,0.5943279948739858,1.181708818264083,0.0020293365883726575,0,0.192,-2.900521604689702,1.0,51452.108174834684,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0.014,0.22,0.102,0.001,0.001,0.112,0.288,0.231,0.549,1.1644154989909945,1.0076185706618859,2.329717580598092,5.422139156026068,0.00703692275599622,0.074,1,0.4115027060816392,-7.589687566745138,-0.4450183091822124,1.9501690243998515,-3.00928276179504,0.095,-1.4191389312861908,0.6299030056261822,0.0020293365883726575,1,0.183,1.3923445237865444,0.0,62473.500229870806,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.001,0.001,0.001,0.301,0.001,0.112,0.288,0.231,0.549,0.3969659546699298,-0.27392484267883066,-2.1948657473081274,4.454827957366954,-5.00236686001594,0.085,1,0.8772471038339109,0.23326063100461303,1.512194632326083,5.457756970219784,-0.13897036567094823,0.104,4.109205757904186,0.751243196591227,0.0020293365883726575,0,0.188,0.29817476287361594,1.0,56591.98939453401,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.001,0.001,0.001,0.301,0.001,0.001,0.001,0.016,0.549,3.8253343805697533,0.30045806442013334,-1.6827267296424382,1.4410957976553576,0.5874877815970898,0.079,1,0.814587177261035,-7.589687566745138,2.123718114410471,2.6757045399401815,-3.00928276179504,0.411,5.267486574858544,0.18545283921480943,0.8273109981079249,0,0.243,-2.900521604689702,1.0,18674.916732385413,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,0.007,0.22,0.001,0.301,0.001,0.001,0.001,0.017,0.001,4.482586293533796,-1.044930725500303,-0.1443286617608046,1.5420609940346506,-5.00236686001594,0.096,1,0.31582471152900093,-7.589687566745138,-1.0880569766875943,-3.406527700612599,-0.30324845242526355,0.411,-2.0652215127177107,-1.6608772547724338,0.0020293365883726575,0,0.183,-2.900521604689702,0.0,65899.99353313544,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.005,0.22,0.001,0.001,0.001,0.001,0.001,0.015,0.001,2.840266024960829,0.4810041384314478,0.906801029755135,3.1333970112228124,-5.00236686001594,0.095,1,0.497192151735307,-7.589687566745138,0.5716866557157456,6.36878196173973,0.7580553908446538,0.083,1.1786108264025483,-3.9078057238106223,0.7804662441611411,0,0.243,-2.900521604689702,1.0,44771.649325348495,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0,0.001,0.008,0.001,0.301,0.001,0.001,0.001,0.015,0.001,2.9029150630131255,0.9689313452709192,0.7668533812999103,2.5042229184884763,-5.00236686001594,0.147,1,0.6225019368960144,-7.589687566745138,0.5445669500931893,0.5982364774355409,0.7460407581242801,0.105,1.161883476541389,-0.5459805730452301,0.0020293365883726575,0,0.243,-2.900521604689702,1.0,18674.916732385413,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0,0.005,0.007,0.002,0.001,0.001,0.001,0.001,0.013,0.001,4.054278968323773,0.3305337336784771,1.0576760656314912,4.1882644901888515,0.9144322295742208,0.083,1,0.2128140721663334,-7.589687566745138,-1.041849105036455,-0.3066583304671229,0.1761054289720392,0.095,-2.321424547727068,1.509775129479712,0.0020293365883726575,1,0.183,-2.900521604689702,0.0,18674.916732385413,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.002,0.002,0.001,0.001,0.001,0.001,0.288,0.018,0.001,4.051981094175969,0.5994024877303321,-1.1339476976604566,2.8024078396852614,1.1142091781680075,0.094,0,0.24943128921120084,-7.589687566745138,-1.460128564790036,-8.755064206115653,-0.054265543495530935,0.101,-2.5696236909455057,0.8813558814415228,0.3564768355024616,0,0.098,-1.0020597699363485,0.0,53643.60406096257,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.002,0.005,0.001,0.301,0.001,0.112,0.288,0.231,0.549,2.0729548170112784,-0.9009940701475925,-0.8093376111763627,1.3748566348150697,-5.00236686001594,0.085,1,0.17789970712646075,-0.5335587114438021,-0.5389624776428736,0.5133441152226459,-1.0512247262279848,0.105,-0.6928203514668745,-0.1450740158596608,0.0020293365883726575,0,0.192,-2.900521604689702,0.0,65968.94471033703,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0,0.013,0.22,0.001,0.001,0.001,0.001,0.001,0.017,0.001,0.29619542097578244,1.5049082029442975,1.8932669458344986,1.5885764813246717,-5.00236686001594,0.079,1,0.46767294761266504,-1.823620612872214,-1.2472171113368977,0.6433279539508467,1.6453991986953194,0.095,-3.0081229416101323,-0.5860506371896654,0.0020293365883726575,0,0.098,-0.25319581209459213,0.0,52755.94274438506,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,0.007,0.002,0.001,0.301,0.102,0.001,0.001,0.016,0.001,-0.6135640932877982,-0.2162064303683012,0.5697455537949618,2.4926911579230957,-0.8526194684455691,0.094,1,0.0019501046328625337,-7.589687566745138,-0.5200528759294801,-2.145078081238878,-0.47327377305045015,0.095,-1.0598055849269172,0.7820461945095442,0.4141511490358819,1,0.192,0.13683991616644384,0.0,18674.916732385413,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.001,0.001,0.001,0.001,0.102,0.112,0.288,0.231,0.549,-12.693470517790814,1.1042059102280353,-1.2362469774398837,2.297896346979058,-5.00236686001594,0.079,0,0.8437605982278389,-7.589687566745138,1.180678340493937,2.1343703521039803,1.7384114357362148,0.411,3.11600406435852,-0.577148782964089,0.9823397398417115,0,0.188,-2.900521604689702,1.0,38761.543259461054,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0,0.002,0.003,0.001,0.001,0.001,0.001,0.001,0.018,0.001,0.5633218035726,-1.3698212858258882,-1.3529848014549868,-0.6568230847419696,-1.8904231747506914,0.09,0,0.17012473900805042,0.3531315908409378,-1.8636074668229266,-0.68593324671219,-0.6577196943241294,0.101,-3.3689716389187483,1.6484267547733842,0.0020293365883726575,0,0.096,1.0761721431565439,0.0,53977.47918798743,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.011,0.001,0.102,0.301,0.001,0.112,0.288,0.231,0.549,-2.02404088966306,-1.4532605356916375,-1.248891718662567,-4.184710267689122,1.1341788113767535,0.079,1,0.4919591575575027,-4.569945719462723,-2.1494709706326964,-2.614007187673935,-1.4785832496594102,0.411,-4.011917210243119,-0.35404561065126355,0.0020293365883726575,0,0.096,0.10212427361178632,0.0,18674.916732385413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
